Owner,Name,Type,Default Value,Unit,RecommendedValueType,Documentation,OriginalProperty,PropertyGroup,Provenance,IdentificationKey,SourceName,SourceURL
OAKDLite,powerIdle,Real,2.5,W,Power_W,VPU booted with no active pipeline.,power_idle,Electrical,manufacturer-stated,OAKDLite::powerIdle,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,powerMin,Real,4,W,Power_W,Recommended operating-condition power from attached sensor reference.,power_min,Electrical,manufacturer-stated,OAKDLite::powerMin,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,powerTypical,Real,5,W,Power_W,Recommended operating-condition typical power.,power_typical,Electrical,manufacturer-stated,OAKDLite::powerTypical,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,powerMax,Real,6,W,Power_W,Recommended operating-condition maximum; pipeline dependent.,power_max,Electrical,manufacturer-stated,OAKDLite::powerMax,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,operatingTemperature,String,-20 to 50,degC,String,At full VPU utilization.,operating_temperature,Environmental,manufacturer-stated,OAKDLite::operatingTemperature,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,hostInterface,String,USB-C; USB 2 / USB 3,,String,USB 3 preferred for concurrent RGB/depth streams.,host_interface,Interface,manufacturer-stated,OAKDLite::hostInterface,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbSensorModel,String,Sony IMX214,,String,Center color camera.,rgb_sensor_model,Optical - RGB,manufacturer-stated,OAKDLite::rgbSensorModel,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbResolution,String,4208 x 3120,pixels,String,Approximately 13.1 MP native active image.,rgb_resolution,Optical - RGB,manufacturer-stated,OAKDLite::rgbResolution,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbPixelPitch,String,1.12 x 1.12,um,String,Pixel pitch.,rgb_pixel_pitch,Optical - RGB,manufacturer-stated,OAKDLite::rgbPixelPitch,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFovDiagonal,Real,81,deg,Angle_deg,Approximate diagonal field of view.,rgb_fov_diagonal,Optical - RGB,manufacturer-stated,OAKDLite::rgbFovDiagonal,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFovHorizontal,Real,69,deg,Angle_deg,Approximate horizontal field of view.,rgb_fov_horizontal,Optical - RGB,manufacturer-stated,OAKDLite::rgbFovHorizontal,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFovVertical,Real,54,deg,Angle_deg,Approximate vertical field of view.,rgb_fov_vertical,Optical - RGB,manufacturer-stated,OAKDLite::rgbFovVertical,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFocalLength,Real,3.37,mm,Length_mm,Approximate effective focal length.,rgb_focal_length,Optical - RGB,manufacturer-stated,OAKDLite::rgbFocalLength,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFNumber,Real,2.2,,Real,Lens f-number.,rgb_f_number,Optical - RGB,manufacturer-stated,OAKDLite::rgbFNumber,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbShutter,String,rolling,,String,Electronic rolling shutter.,rgb_shutter,Optical - RGB,manufacturer-stated,OAKDLite::rgbShutter,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rgbFocusRange,String,0.08 to infinity,m,String,Auto-focus variant.,rgb_focus_range,Optical - RGB,manufacturer-stated,OAKDLite::rgbFocusRange,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoSensorModel,String,2 x OmniVision OV7251,,String,Left/right monochrome global-shutter cameras.,stereo_sensor_model,Optical - Stereo,manufacturer-stated,OAKDLite::stereoSensorModel,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoResolution,String,640 x 480,pixels,String,Per mono camera.,stereo_resolution,Optical - Stereo,manufacturer-stated,OAKDLite::stereoResolution,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoPixelPitch,String,3.0 x 3.0,um,String,Pixel pitch.,stereo_pixel_pitch,Optical - Stereo,manufacturer-stated,OAKDLite::stereoPixelPitch,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoFovDiagonal,Real,86,deg,Angle_deg,Approximate diagonal field of view.,stereo_fov_diagonal,Optical - Stereo,manufacturer-stated,OAKDLite::stereoFovDiagonal,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoFovHorizontal,Real,73,deg,Angle_deg,Approximate horizontal field of view.,stereo_fov_horizontal,Optical - Stereo,manufacturer-stated,OAKDLite::stereoFovHorizontal,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoFovVertical,Real,58,deg,Angle_deg,Approximate vertical field of view.,stereo_fov_vertical,Optical - Stereo,manufacturer-stated,OAKDLite::stereoFovVertical,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoShutter,String,global,,String,Important for stereo on a moving robot.,stereo_shutter,Optical - Stereo,manufacturer-stated,OAKDLite::stereoShutter,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoFocusRange,String,0.065 to infinity,m,String,Fixed focus.,stereo_focus_range,Optical - Stereo,manufacturer-stated,OAKDLite::stereoFocusRange,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,stereoBaseline,Real,75,mm,Length_mm,Physical baseline between mono cameras.,stereo_baseline,Depth,manufacturer-stated,OAKDLite::stereoBaseline,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,idealDepthRange,String,0.8 to 12,m,String,Luxonis documentation varies with resolution/disparity mode; characterize final BillieBot configuration.,ideal_depth_range,Depth,manufacturer-stated,OAKDLite::idealDepthRange,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,minimumDepthExtendedDisparity,Real,0.2,m,Length_m,Approximate MinZ in suitable 480p extended-disparity mode.,minimum_depth_extended_disparity,Depth,manufacturer-stated,OAKDLite::minimumDepthExtendedDisparity,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthAccuracyNear,String,<2,%,String,Median absolute depth error at short range; exact distance bands vary among official references.,depth_accuracy_near,Depth,manufacturer-stated,OAKDLite::depthAccuracyNear,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthAccuracyMid,String,<4,%,String,Median absolute depth error at intermediate range.,depth_accuracy_mid,Depth,manufacturer-stated,OAKDLite::depthAccuracyMid,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthAccuracyFar,String,<6,%,String,Median absolute depth error at longer range.,depth_accuracy_far,Depth,manufacturer-stated,OAKDLite::depthAccuracyFar,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthOutputFormat,String,uint16,,String,Default depth image representation.,depth_output_format,Depth,manufacturer-stated,OAKDLite::depthOutputFormat,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthScale,Real,1,mm/LSB,Resolution_mmPerLSB,Default depth units.,depth_scale,Depth,manufacturer-stated,OAKDLite::depthScale,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,invalidDepthValue,Integer,0,LSB,DigitalCount_LSB,"Zero means invalid/undetermined depth, not zero-distance contact.",invalid_depth_value,Depth,manufacturer-stated,OAKDLite::invalidDepthValue,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,imuModel,String,Bosch BMI270,,String,Retail OAK-D Lite units include it; early Kickstarter units may not.,imu_model,IMU,manufacturer-stated,OAKDLite::imuModel,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,accelerometerRangeOptions,String,±2 / ±4 / ±8 / ±16,g,String,Selectable full-scale ranges.,accelerometer_range_options,IMU,manufacturer-stated,OAKDLite::accelerometerRangeOptions,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,accelerometerNoiseDensity,Real,0.16,mg/sqrt(Hz),AccelerationNoiseDensity_mgPerSqrtHz,Typical native BMI270 noise density.,accelerometer_noise_density,IMU,manufacturer-stated,OAKDLite::accelerometerNoiseDensity,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,gyroscopeRangeOptions,String,±125 / ±250 / ±500 / ±1000 / ±2000,deg/s,String,Selectable full-scale ranges.,gyroscope_range_options,IMU,manufacturer-stated,OAKDLite::gyroscopeRangeOptions,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,gyroscopeNoiseDensity,Real,0.007,deg/s/sqrt(Hz),AngularRateNoiseDensity_degPerSecondPerSqrtHz,Typical performance-mode value.,gyroscope_noise_density,IMU,manufacturer-stated,OAKDLite::gyroscopeNoiseDensity,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,depthaiPracticalReportRates,String,25 / 50 / 100 / 200 / 250,Hz,String,Stable public request points; practical top rate about 250 Hz.,depthai_practical_report_rates,IMU,manufacturer-stated,OAKDLite::depthaiPracticalReportRates,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
OAKDLite,rosPublishRate,Real,5,Hz,Frequency_Hz,OAK-D dog detector publish rate.,ros_publish_rate,BillieBot configuration,repo-configuration,OAKDLite::rosPublishRate,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
MLX90640ThermalCamera,sensorModel,String,Melexis MLX90640ESF-BAB-000-TU,,String,55° x 35° BAB lens variant.,sensor_model,Identification,manufacturer-stated,MLX90640ThermalCamera::sensorModel,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,dimensions,String,25.7 x 17.7 x 16.0,mm,String,Adafruit breakout dimensions.,dimensions,Mechanical,manufacturer-stated,MLX90640ThermalCamera::dimensions,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,arrayFormat,String,32 x 24,pixels,String,768 native thermal pixels.,array_format,Optical,manufacturer-stated,MLX90640ThermalCamera::arrayFormat,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,pixelCount,Integer,768,pixels,PixelCount_pixels,32 x 24 array.,pixel_count,Optical,calculated,MLX90640ThermalCamera::pixelCount,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,fovHorizontal,Real,55,deg,Angle_deg,Typical.,fov_horizontal,Optical,manufacturer-stated,MLX90640ThermalCamera::fovHorizontal,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,fovVertical,Real,35,deg,Angle_deg,Typical.,fov_vertical,Optical,manufacturer-stated,MLX90640ThermalCamera::fovVertical,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,centralPointingErrorMax,Real,3,deg,Angle_deg,Maximum pointing error from normal.,central_pointing_error_max,Optical,manufacturer-stated,MLX90640ThermalCamera::centralPointingErrorMax,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,objectTemperatureRange,String,-40 to 300,degC,String,Radiometric target/object range.,object_temperature_range,Measurement,manufacturer-stated,MLX90640ThermalCamera::objectTemperatureRange,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,operatingTemperature,String,-40 to 85,degC,String,Sensor operating range.,operating_temperature,Environmental,manufacturer-stated,MLX90640ThermalCamera::operatingTemperature,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,absoluteAccuracy,String,±2,degC,String,Adafruit product-level figure over approximately 0–100 °C; depends on settled/isothermal conditions and target filling pixel FOV.,absolute_accuracy,Measurement,manufacturer-stated,MLX90640ThermalCamera::absoluteAccuracy,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,netdTypicalAt1hz,Real,0.25,K,TemperatureDifference_K,BAB 55° variant average NETD at 1 Hz; preferred over generic 0.1 K figures for this exact lens variant.,netd_typical_at_1hz,Measurement,manufacturer-stated,MLX90640ThermalCamera::netdTypicalAt1hz,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,netdMinAt1hz,Real,0.2,K,TemperatureDifference_K,BAB variant minimum from Melexis table.,netd_min_at_1hz,Measurement,manufacturer-stated,MLX90640ThermalCamera::netdMinAt1hz,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,adcResolutionOptions,String,16 / 17 / 18 / 19,bits,String,18-bit default.,adc_resolution_options,Measurement,manufacturer-stated,MLX90640ThermalCamera::adcResolutionOptions,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,refreshRateOptions,String,0.5 / 1 / 2 / 4 / 8 / 16 / 32 / 64,Hz,String,Configured refresh is subpage rate.,refresh_rate_options,Timing,manufacturer-stated,MLX90640ThermalCamera::refreshRateOptions,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,defaultRefreshRate,Real,2,Hz,Frequency_Hz,Subpage rate.,default_refresh_rate,Timing,manufacturer-stated,MLX90640ThermalCamera::defaultRefreshRate,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,effectiveFullImageRateRatio,Real,0.5,full frames/subpage-rate,FrameRateRatio,Full thermal frame requires two subpages.,effective_full_image_rate_ratio,Timing,calculated,MLX90640ThermalCamera::effectiveFullImageRateRatio,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,thermalStabilizationTimeMax,Real,4,min,Time_min,Allow for rated absolute-temperature accuracy after power-up.,thermal_stabilization_time_max,Timing,manufacturer-stated,MLX90640ThermalCamera::thermalStabilizationTimeMax,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,breakoutInputVoltage,String,3 to 5,V,String,On-board regulator and level shifting.,breakout_input_voltage,Electrical,manufacturer-stated,MLX90640ThermalCamera::breakoutInputVoltage,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,sensorSupplyVoltageTypical,Real,3.3,V,Voltage_V,Melexis sensor core.,sensor_supply_voltage_typical,Electrical,manufacturer-stated,MLX90640ThermalCamera::sensorSupplyVoltageTypical,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,sensorCurrentTypical,Real,18,mA,Current_mA,MLX90640 sensor IC.,sensor_current_typical,Electrical,manufacturer-stated,MLX90640ThermalCamera::sensorCurrentTypical,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,sensorCurrentMax,Real,25,mA,Current_mA,MLX90640 sensor IC.,sensor_current_max,Electrical,manufacturer-stated,MLX90640ThermalCamera::sensorCurrentMax,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,sensorPowerTypical,Real,59.4,mW,Power_mW,3.3 V x 18 mA.,sensor_power_typical,Electrical,calculated,MLX90640ThermalCamera::sensorPowerTypical,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,interface,String,I2C,,String,Slave device.,interface,Interface,manufacturer-stated,MLX90640ThermalCamera::interface,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,i2cAddress,String,0x33,,String,Default 7-bit address.,i2c_address,Interface,manufacturer-stated,MLX90640ThermalCamera::i2cAddress,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,i2cClockMax,Real,1,MHz,Frequency_MHz,Fast-mode plus supported by sensor.,i2c_clock_max,Interface,manufacturer-stated,MLX90640ThermalCamera::i2cClockMax,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,applicationOutput,String,768-element float temperature array,,String,Typical driver output after calibration/compensation.,application_output,Data,manufacturer-stated,MLX90640ThermalCamera::applicationOutput,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,applicationOutputUnits,String,degrees Celsius,,String,Each element represents calculated object temperature.,application_output_units,Data,manufacturer-stated,MLX90640ThermalCamera::applicationOutputUnits,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
MLX90640ThermalCamera,rosPublishRate,Real,4,Hz,Frequency_Hz,Current thermal node publish rate; matches ~4 full images/s target.,ros_publish_rate,BillieBot configuration,repo-configuration,MLX90640ThermalCamera::rosPublishRate,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
MLX90640ThermalCamera,i2cBus,Real,1,,Real,Configured Linux I2C bus.,i2c_bus,BillieBot configuration,repo-configuration,MLX90640ThermalCamera::i2cBus,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
RaspberryPiCameraModule3NoIR,sensorModel,String,Sony IMX708,,String,"Back-illuminated stacked CMOS, Quad Bayer.",sensor_model,Identification,manufacturer-stated,RaspberryPiCameraModule3NoIR::sensorModel,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,irCutFilter,String,absent,,String,NoIR variant; visible + near-IR sensitive.,ir_cut_filter,Identification,manufacturer-stated,RaspberryPiCameraModule3NoIR::irCutFilter,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,dimensions,String,25 x 24 x 11.5,mm,String,Approximate.,dimensions,Mechanical,manufacturer-stated,RaspberryPiCameraModule3NoIR::dimensions,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,mass,Real,4,g,Mass_g,Current Raspberry Pi camera hardware table.,mass,Mechanical,manufacturer-stated,RaspberryPiCameraModule3NoIR::mass,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,resolution,String,4608 x 2592,pixels,String,11.9 MP effective.,resolution,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::resolution,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,megapixels,Real,11.9,MP,PixelCount_MP,Effective resolution.,megapixels,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::megapixels,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,pixelPitch,String,1.4 x 1.4,um,String,Pixel size.,pixel_pitch,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::pixelPitch,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,sensorDiagonal,Real,7.4,mm,Length_mm,Sensor image-area diagonal.,sensor_diagonal,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::sensorDiagonal,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,fovDiagonal,Real,75,deg,Angle_deg,Standard-lens NoIR variant.,fov_diagonal,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::fovDiagonal,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,fovHorizontal,Real,66,deg,Angle_deg,Standard field of view.,fov_horizontal,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::fovHorizontal,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,fovVertical,Real,41,deg,Angle_deg,Standard field of view.,fov_vertical,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::fovVertical,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,focalLength,Real,4.74,mm,Length_mm,Standard-lens module.,focal_length,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::focalLength,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,fNumber,Real,1.8,,Real,Lens focal ratio.,f_number,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::fNumber,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,focusRange,String,0.10 to infinity,m,String,Motorized autofocus.,focus_range,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::focusRange,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,autofocus,String,phase-detection autofocus (PDAF),,String,Motorized focus.,autofocus,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::autofocus,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
RaspberryPiCameraModule3NoIR,shutter,String,rolling,,String,Rolling-shutter CMOS.,shutter,Optical,manufacturer-stated,RaspberryPiCameraModule3NoIR::shutter,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
