BlockName,PropertyName,Type,DefaultValue,Documentation
MLX90640 - COMPLETE,centralPointingErrorMax,Real,3,Maximum pointing error from normal.
MLX90640 - COMPLETE,objectTemperatureRange,String,-40 to 300,Radiometric target/object range.
MLX90640 - COMPLETE,adcResolution,String,18,18-bit default.
MLX90640 - COMPLETE,thermalStabilizationTimeMax,Real,4,Allow for rated absolute-temperature accuracy after power-up.
MLX90640 - COMPLETE,i2cAddress,String,0x33,Default 7-bit address.
MLX90640 - COMPLETE,i2cClock,Real,400,Fast-mode plus supported by sensor.
MLX90640,role,String,Secondary dog detector camera.,
MLX90640,size,String,25.7 x 17.7 x 16.0,Adafruit breakout dimensions.
MLX90640,mass,Real,3.5,
MLX90640,inputVoltage,Real,5,On-board regulator and level shifting accepts either 3.3 or 5 V; sensor uses 3.3 V.
MLX90640,typicalCurrent,Real,0.018,MLX90640 sensor IC.
MLX90640,typicalPower,Real,0.06,3.3 V x 18 mA.
MLX90640,physicalInterface,String,STEMMA QT,
MLX90640,commInterface,String,I2C,Slave device.
MLX90640,rosPublishRate,Real,4,Current thermal node publish rate; matches ~4 full images/s target.
MLX90640,rosTopicsPublished,String,,
MLX90640,rosTopicsSubscribed,String,,
MLX90640,imageAcquisitionRate,Real,4,Configured image acquisition rate.
MLX90640,refreshRate,Real,8,Configured refresh is subpage rate.
MLX90640,effectiveFullImageRateRatio,Real,0.5,Full thermal frame requires two subpages.
MLX90640,absoluteAccuracy,Real,2,Adafruit product-level figure +/- 2 degC over approximately 0–100 °C; depends on settled/isothermal conditions and target filling pixel FOV.
MLX90640,netdTypicalAt1hz,Real,0.25,BAB 55° variant average NETD at 1 Hz; preferred over generic 0.1 K figures for this exact lens variant.
Melexis MLX90640,role,String,MLX90640 IR Sensor,55° x 35° BAB lens variant.
Melexis MLX90640,arrayFormat,String,32 x 24,768 native thermal pixels.
Melexis MLX90640,pixelCount,Integer,768,32 x 24 array.
Melexis MLX90640,fovHorizontal,Real,55,Typical.
Melexis MLX90640,fovVertical,Real,35,Typical.
Melexis MLX90640,centralPointingErrorMax,Real,3,Maximum pointing error from normal.
Melexis MLX90640,objectTemperatureRange,String,-40 to 300,Radiometric target/object range.
Melexis MLX90640,adcResolution,String,18,18-bit default.
Melexis MLX90640,thermalStabilizationTimeMax,Real,4,Allow for rated absolute-temperature accuracy after power-up.
Melexis MLX90640,i2cAddress,String,0x33,Default 7-bit address.
Melexis MLX90640,i2cClock,Real,400,Fast-mode plus supported by sensor.
Microphone BB,role,String,Dog bark detector.,
Microphone BB,size,String,,
Microphone BB,mass,Real,,
Microphone BB,inputVoltage,Real,,
Microphone BB,typicalCurrent,Real,,
Microphone BB,typicalPower,Real,,
Microphone BB,physicalInterface,String,,
Microphone BB,commInterface,String,,
Microphone BB,rosPublishRate,Real,,
Microphone BB,rosTopicsPublished,String,,
Microphone BB,rosTopicsSubscribed,String,,
Microphone BB,audioSampleRate,Real,,
reSpeaker,role,String,Dog bark detector.,
reSpeaker,size,String,108 x 18,
reSpeaker,mass,Real,42,
reSpeaker,inputVoltage,Real,5,USB bus powered.
reSpeaker,typicalCurrent,Real,0.3,
reSpeaker,typicalPower,Real,1,
reSpeaker,physicalInterface,String,USB-C,USB-C power + data.
reSpeaker,commInterface,String,serial,
reSpeaker,rosPublishRate,Real,2,Audio event classifier publish rate.
reSpeaker,rosTopicsPublished,String,,
reSpeaker,rosTopicsSubscribed,String,,
reSpeaker,audioSampleRate,Real,16,Audio classifier input sample rate.
reSpeaker,farFieldPickupRangeMax,Real,5,Product capability claim; environment dependent.
reSpeaker,endpointBitDepth,Integer,32,USB endpoint sample depth.
reSpeaker,xvf3800CorePowerUsb,Real,0.4,XMOS core typical in USB mode; not total board power.
IMU BB,role,String,Odometry fusion w/ EKF.,
IMU BB,size,String,,
IMU BB,mass,Real,,
IMU BB,inputVoltage,Real,,
IMU BB,typicalCurrent,Real,,
IMU BB,typicalPower,Real,,
IMU BB,physicalInterface,String,,
IMU BB,commInterface,String,,
IMU BB,rosPublishRate,Real,,
IMU BB,rosTopicsPublished,String,,
IMU BB,rosTopicsSubscribed,String,,
IMU BB,imuStreamRate,Real,,
IMU SEN0253,role,String,Odometry fusion w/ EKF.,
IMU SEN0253,size,String,32 x 27 x 5,Carrier board dimensions.
IMU SEN0253,mass,Real,20,
IMU SEN0253,inputVoltage,Real,5,Board-level supply can be 3.3 to 5 V.
IMU SEN0253,typicalCurrent,Real,0.015,Bosch BNO055 total supply current in 9-DOF at 100 Hz under listed conditions is 12.3 mA.
IMU SEN0253,typicalPower,Real,0.05,
IMU SEN0253,physicalInterface,String,I2C-UART,
IMU SEN0253,commInterface,String,I2C,BNO055 and BMP280 are independent I2C devices. Baudrate for comm with Sensor Nano is 115200.
IMU SEN0253,rosPublishRate,Real,50,IMU data published at 50 Hz but other ROS topics published at other rates. 
IMU SEN0253,rosTopicsPublished,String,,
IMU SEN0253,rosTopicsSubscribed,String,,
IMU SEN0253,sensorNanoSerialBaudrate,Real,115200,Sensor Nano firmware link rate.
IMU SEN0253,imuStreamRate,Real,50,Quaternion + gyro + acceleration + calibration record.
IMU SEN0253,magnetometerStreamRate,Real,10,Magnetometer record.
IMU SEN0253,barometerStreamRate,Real,2,Pressure + temperature record.
IMU SEN0253,accelerometerRange,String,4,Fusion mode automatically uses ±4 g.
IMU SEN0253,accelerometerResolution,Integer,14,Internal accelerometer resolution.
IMU SEN0253,accelerometerNoiseDensityTypical,Real,150,Typical.
IMU SEN0253,gyroscopeRangeOptions,String,2000,Fusion modes use ±2000 deg/s.
IMU SEN0253,gyroscopeResolution,Integer,16,Internal gyro resolution.
IMU SEN0253,gyroscopeOutputNoiseTypical,Real,0.1,At BW = 47 Hz.
IMU SEN0253,headingAccuracyTypical,Real,2.5,"Magnetometer +/- 2.5 deg accuracy fully calibrated, ideal tilt compensation and 30 uT horizontal field; robot magnetic environment can dominate."
IMU SEN0253,bno055I2cAddress,String,0x28,Default; 0x29 selectable.
IMU SEN0253,bmp280I2cAddress,String,0x76,Default on SEN0253.
IMU SEN0253,boardSku,String,SEN0253,DFRobot Gravity 10-DOF IMU AHRS.
IMU SEN0253,orientationSensor,String,Bosch BNO055,9-axis absolute-orientation sensor with onboard fusion.
IMU SEN0253,pressureSensor,String,Bosch BMP280,Barometric pressure + temperature.
Lidar Sensor BB,role,String,360 degree mapping.,
Lidar Sensor BB,size,String,,
Lidar Sensor BB,mass,Real,,
Lidar Sensor BB,inputVoltage,Real,,
Lidar Sensor BB,typicalCurrent,Real,,
Lidar Sensor BB,typicalPower,Real,,
Lidar Sensor BB,physicalInterface,String,,
Lidar Sensor BB,commInterface,String,,
Lidar Sensor BB,rosPublishRate,Real,,
Lidar Sensor BB,rosTopicsPublished,String,,
Lidar Sensor BB,rosTopicsSubscribed,String,,
Lidar Sensor BB,accuracy,Real,,
Lidar Sensor BB,measurementRange,String,,
Lidar Sensor BB,rangeResolution,String,,
Lidar Sensor BB,angularRange,Real,,
Lidar Sensor BB,angularResolution,String,,
Lidar Sensor BB,samplingFrequency,Real,,
Lidar Sensor BB,rotationalSpeed,Real,,
RPLidar A1,role,String,360 degree mapping.,
RPLidar A1,size,String,96.8 x 70.3 x 55,Manufacturer dimensions.
RPLidar A1,mass,Real,170,
RPLidar A1,inputVoltage,Real,5,Manufacturer system voltage.
RPLidar A1,typicalCurrent,Real,100,Manufacturer key parameter.
RPLidar A1,typicalPower,Real,0.5,Manufacturer key parameter.
RPLidar A1,physicalInterface,String,UART-to-USB serial adapter,UART-to-USB serial adapter normally presents serial to host.
RPLidar A1,commInterface,String,serial,
RPLidar A1,rosPublishRate,Real,8,My_Bot documentation shows real rate was 4 Hz (more recent tests) and 8 Hz (older tests).
RPLidar A1,rosTopicsPublished,String,/scan,
RPLidar A1,rosTopicsSubscribed,String,,
RPLidar A1,accuracy,Real,2,Manufacturer accuracy band.
RPLidar A1,measurementRange,String,0.15 to 12,Nominal A1 range.
RPLidar A1,rangeResolution,String,1,Specified for distances <=12 m.
RPLidar A1,angularRange,Real,360,Full 2-D scan.
RPLidar A1,angularResolution,String,1,Manufacturer key parameter.
RPLidar A1,samplingFrequency,Real,8000,8 ksample/s.
RPLidar A1,rotationalSpeed,Real,5.5,Nominal.
RPLidar A1,serialBaudrate,Real,115200,Current rplidar_ros serial setting.
Computer BB,role,String,On-board Computer,
Computer BB,size,String,,
Computer BB,mass,Real,,
Computer BB,inputVoltage,Real,,
Computer BB,typicalCurrent,Real,,
Computer BB,typicalPower,Real,,
Computer BB,outputVoltage,Real,,
Computer BB,outputCurrentMax,Real,,
Computer BB,outputPowerMax,Real,,
Computer BB,physicalInterface,String,,
Computer BB,commInterface,String,,
Computer BB,rosPublishRate,Real,,
Computer BB,rosTopicsPublished,String,,
Computer BB,rosTopicsSubscribed,String,,
Computer BB,memory,Integer,,
Computer BB,memoryBandwidth,Real,,
Jetson Orin Nano,role,String,Primary compute.,
Jetson Orin Nano,size,String,100 x 79 x 21,"Height includes feet, carrier, module, and thermal solution. NOTE: this is not the size of the case."
Jetson Orin Nano,mass,Real,174,NVIDIA engineer-published hardware FAQ value for Orin Nano developer kit; Super is software-enabled on same hardware.
Jetson Orin Nano,inputVoltage,Real,12,Developer-kit barrel-jack operating range.
Jetson Orin Nano,typicalCurrent,Real,1.5,
Jetson Orin Nano,typicalPower,Real,15,When PowerMode is set to 15 W.
Jetson Orin Nano,outputVoltage,Real,5,
Jetson Orin Nano,outputCurrentMax,Real,0.9,
Jetson Orin Nano,outputPowerMax,Real,4.5,
Jetson Orin Nano,physicalInterface,String,USB 3,
Jetson Orin Nano,commInterface,String,Serial,
Jetson Orin Nano,rosPublishRate,Real,,
Jetson Orin Nano,rosTopicsPublished,String,,
Jetson Orin Nano,rosTopicsSubscribed,String,,
Jetson Orin Nano,PowerMode,String,15,Super mode supports up to 25 W configured module budget.
Jetson Orin Nano,memory,Integer,8,128-bit LPDDR5.
Jetson Orin Nano,memoryBandwidth,Real,102,With latest software stack.
Raspberry Pi 5,role,String,Secondary compute.,
Raspberry Pi 5,size,String,85 x 56 x 10,Nominal Raspberry Pi 5 PCB outline; use official mechanical drawing for detailed mounting geometry.
Raspberry Pi 5,mass,Real,75,Official Raspberry Pi sources reviewed do not publish a simple board-only mass; measure the installed board/cooler stack for mass rollup.
Raspberry Pi 5,inputVoltage,Real,5,USB-C supply rail.
Raspberry Pi 5,typicalCurrent,Real,5,Recommended 25 W supply capacity.
Raspberry Pi 5,typicalPower,Real,8,Idle ~ 3 W; heavy CPU load ~ 10 W
Raspberry Pi 5,outputVoltage,Real,5,
Raspberry Pi 5,outputCurrentMax,Real,1.6,Total downstream USB allowance with appropriate 5 A supply; shared with fan header.
Raspberry Pi 5,outputPowerMax,Real,5,
Raspberry Pi 5,physicalInterface,String,USB 2,
Raspberry Pi 5,commInterface,String,serial,
Raspberry Pi 5,rosPublishRate,Real,,
Raspberry Pi 5,rosTopicsPublished,String,,
Raspberry Pi 5,rosTopicsSubscribed,String,,
Raspberry Pi 5,memory,Integer,4,BillieBot repo-selected RAM variant.
Raspberry Pi 5,memoryBandwidth,Real,1,Estimate.
Motor Controller BB,role,String,Motor controller,
Motor Controller BB,size,String,,
Motor Controller BB,mass,Real,,
Motor Controller BB,inputVoltage,Real,,
Motor Controller BB,typicalCurrent,Real,,
Motor Controller BB,typicalPower,Real,,
Motor Controller BB,outputVoltage,Real,,
Motor Controller BB,outputCurrentMax,Real,,
Motor Controller BB,outputPowerMax,Real,,
Motor Controller BB,physicalInterface,String,,
Motor Controller BB,commInterface,String,,
Motor Controller BB,rosPublishRate,Real,,
Motor Controller BB,rosTopicsPublished,String,,
Motor Controller BB,rosTopicsSubscribed,String,,
Motor Controller BB,motorPidRate,Real,,
Motor Controller BB,serialBaudrate,Real,,
Motor Controller BB,memory,Integer,,
Motor Controller BB,memoryBandwidth,Real,,
Arduino Nano V3,role,String,Motor controller / sensor reader.,
Arduino Nano V3,size,String,18 x 45 x 10,PCB size.
Arduino Nano V3,mass,Real,7,Board weight.
Arduino Nano V3,inputVoltage,Real,5,Logic/operating voltage.
Arduino Nano V3,typicalCurrent,Real,0.035,Arduino published board current figure.
Arduino Nano V3,typicalPower,Real,0.2,
Arduino Nano V3,outputVoltage,Real,5,Has 5 and 3.3 V outputs. 
Arduino Nano V3,outputCurrentMax,Real,0.02,
Arduino Nano V3,outputPowerMax,Real,0.1,
Arduino Nano V3,physicalInterface,String,microUSB to USB,
Arduino Nano V3,commInterface,String,serial,
Arduino Nano V3,rosPublishRate,Real,30,NOTE: Sensor Nano and Motor Nano publish at different rates. 
Arduino Nano V3,rosTopicsPublished,String,,
Arduino Nano V3,rosTopicsSubscribed,String,,
Arduino Nano V3,motorPidRate,Real,30,Motor-control PID rate.
Arduino Nano V3,basePublishRate,Real,30,Wheel odometry / base bridge publish rate.
Arduino Nano V3,motorNanoSerialBaudrate,Real,57600,Motor Nano link rate.
Arduino Nano V3,sensorNanoSerialBaudrate,Real,115200,Sensor Nano IMU/barometer/battery stream.
Arduino Nano V3,microcontroller,String,ATmega328,AVR architecture.
Arduino Nano V3,clockSpeed,Real,16,Board clock.
Arduino Nano V3,memory,Integer,32,2 KB used by bootloader.
Arduino Nano V3,memoryBandwidth,Real,0.01,Estimate.
Motor Nano,role,String,Motor controller.,
Motor Nano,size,String,18 x 45 x 10,PCB size.
Motor Nano,mass,Real,7,Board weight.
Motor Nano,inputVoltage,Real,5,Logic/operating voltage.
Motor Nano,typicalCurrent,Real,0.035,Arduino published board current figure.
Motor Nano,typicalPower,Real,0.2,
Motor Nano,outputVoltage,Real,5,Has 5 and 3.3 V outputs. 
Motor Nano,outputCurrentMax,Real,0.02,
Motor Nano,outputPowerMax,Real,0.1,
Motor Nano,physicalInterface,String,microUSB to USB,
Motor Nano,commInterface,String,serial,
Motor Nano,rosPublishRate,Real,30,NOTE: Sensor Nano and Motor Nano publish at different rates. 
Motor Nano,rosTopicsPublished,String,,
Motor Nano,rosTopicsSubscribed,String,,
Motor Nano,motorPidRate,Real,30,Motor-control PID rate.
Motor Nano,basePublishRate,Real,30,Wheel odometry / base bridge publish rate.
Motor Nano,motorNanoSerialBaudrate,Real,57600,Motor Nano link rate.
Motor Nano,microcontroller,String,ATmega328,AVR architecture.
Motor Nano,clockSpeed,Real,16,Board clock.
Motor Nano,memory,Integer,32,2 KB used by bootloader.
Motor Nano,memoryBandwidth,Real,0.01,Estimate.
Sensor Nano,role,String,Sensor reader.,
Sensor Nano,size,String,18 x 45 x 10,PCB size.
Sensor Nano,mass,Real,7,Board weight.
Sensor Nano,inputVoltage,Real,5,Logic/operating voltage.
Sensor Nano,typicalCurrent,Real,0.035,Arduino published board current figure.
Sensor Nano,typicalPower,Real,0.2,
Sensor Nano,outputVoltage,Real,5,Has 5 and 3.3 V outputs. 
Sensor Nano,outputCurrentMax,Real,0.02,
Sensor Nano,outputPowerMax,Real,0.1,
Sensor Nano,physicalInterface,String,microUSB to USB,
Sensor Nano,commInterface,String,serial,
Sensor Nano,rosPublishRate,Real,30,NOTE: Sensor Nano and Motor Nano publish at different rates. 
Sensor Nano,rosTopicsPublished,String,,
Sensor Nano,rosTopicsSubscribed,String,,
Sensor Nano,sensorNanoSerialBaudrate,Real,115200,Sensor Nano IMU/barometer/battery stream.
Sensor Nano,microcontroller,String,ATmega328,AVR architecture.
Sensor Nano,clockSpeed,Real,16,Board clock.
Sensor Nano,memory,Integer,32,2 KB used by bootloader.
Sensor Nano,memoryBandwidth,Real,0.01,Estimate.
Encoder Motor BB,role,String,Locomotion + primary odometry,
Encoder Motor BB,size,String,,
Encoder Motor BB,mass,Real,,
Encoder Motor BB,inputVoltage,Real,,
Encoder Motor BB,typicalCurrent,Real,,
Encoder Motor BB,typicalPower,Real,,
Encoder Motor BB,physicalInterface,String,,
Encoder Motor BB,commInterface,String,,
Encoder Motor BB,noLoadSpeedNominal,Real,,
Encoder Motor BB,encoderTicksPerWheelRevolution,Real,,
JGA25371 Encoder Motor,role,String,Locomotion + primary odometry,
JGA25371 Encoder Motor,size,String,25 x 65,
JGA25371 Encoder Motor,mass,Real,100,
JGA25371 Encoder Motor,inputVoltage,Real,12,
JGA25371 Encoder Motor,typicalCurrent,Real,0.2,Stall current is 2 A. 
JGA25371 Encoder Motor,typicalPower,Real,2.5,Stall state can draw up ~10-20 W.
JGA25371 Encoder Motor,physicalInterface,String,6-pin JST,
JGA25371 Encoder Motor,commInterface,String,analog,
JGA25371 Encoder Motor,noLoadSpeedNominal,Real,130,Repo design value for the selected gearmotor variant.
JGA25371 Encoder Motor,encoderTicksPerWheelRevolution,Real,2000,"Software calibration value, not a manufacturer encoder spec; alternatives noted in repo. Calibrate physically."
Motor Driver BB,role,String,Motor driver + power supply,
Motor Driver BB,size,String,,
Motor Driver BB,mass,Real,,
Motor Driver BB,inputVoltage,Real,,
Motor Driver BB,typicalCurrent,Real,,
Motor Driver BB,typicalPower,Real,,
Motor Driver BB,outputVoltage,Real,,
Motor Driver BB,outputCurrentMax,Real,,
Motor Driver BB,outputPowerMax,Real,,
L298N Motor Driver,role,String,Motor driver + power supply,
L298N Motor Driver,size,String,43 x 43 x 27,
L298N Motor Driver,mass,Real,30,
L298N Motor Driver,inputVoltage,Real,12,
L298N Motor Driver,typicalCurrent,Real,0.02,Current consumed by onboard logic and control.
L298N Motor Driver,typicalPower,Real,0.25,Power consumed by onboard logic and control.
L298N Motor Driver,outputVoltage,Real,12,
L298N Motor Driver,outputCurrentMax,Real,2,2 A/channel; 4 A total is aggregate IC capability; thermal/module limits apply.
L298N Motor Driver,outputPowerMax,Real,25,
L298N Motor Driver,physicalInterface,String,wired,
L298N Motor Driver,commInterface,String,analog,
Battery BB,role,String,On-board power supply.,
Battery BB,size,String,,
Battery BB,mass,Real,,
Battery BB,outputVoltage,Real,,
Battery BB,outputCurrentMax,Real,,
Battery BB,outputPowerMax,Real,,
Venom 3S LiPo Battery,role,String,On-board power supply.,
Venom 3S LiPo Battery,size,String,137 × 45 × 24,
Venom 3S LiPo Battery,mass,Real,310,
Venom 3S LiPo Battery,outputVoltage,Real,12,
Venom 3S LiPo Battery,outputCurrentMax,Real,40,
Venom 3S LiPo Battery,outputPowerMax,Real,100,
Venom 3S LiPo Battery,physicalInterface,String,XT60,
Venom 3S LiPo Battery,nominalVoltage,Real,11.1,3 x 3.7 V nominal.
Venom 3S LiPo Battery,capacity,Real,4,Repo design baseline.
Venom 3S LiPo Battery,dischargeRating,Real,20,Repo design baseline.
Venom 3S LiPo Battery,nominalEnergy,Real,44.4,11.1 V x 4 Ah.
Venom 3S LiPo Battery,nominalCurrentMax,Real,80,"20C x 4 Ah; theoretical pack rating, not required robot current."
Venom 3S LiPo Battery,fullyChargedVoltage,Real,12.6,3 x 4.2 V.
Venom 3S LiPo Battery,lowVoltageThreshold,Real,10.5,3.5 V/cell SAFE threshold.
Venom 3S LiPo Battery,criticalVoltageThreshold,Real,9.9,3.3 V/cell critical threshold.
Ovonic 3S LiPo Battery,role,String,On-board power supply.,
Ovonic 3S LiPo Battery,size,String,159 x 47 x 27,
Ovonic 3S LiPo Battery,mass,Real,370,
Ovonic 3S LiPo Battery,outputVoltage,Real,12,
Ovonic 3S LiPo Battery,outputCurrentMax,Real,80,
Ovonic 3S LiPo Battery,outputPowerMax,Real,200,
Ovonic 3S LiPo Battery,physicalInterface,String,XT60,
Ovonic 3S LiPo Battery,nominalVoltage,Real,11.1,3 x 3.7 V nominal.
Ovonic 3S LiPo Battery,capacity,Real,5,Repo design baseline.
Ovonic 3S LiPo Battery,dischargeRating,Real,120,Repo design baseline.
Ovonic 3S LiPo Battery,nominalEnergy,Real,55.5,11.1 V x 5 Ah.
Ovonic 3S LiPo Battery,nominalCurrentMax,Real,600,"120C x 5 Ah; theoretical pack rating, not required robot current."
