component,category,property,value,units,value_type,provenance,notes
OAK-D Lite IMU (BMI270),Sensor - Inertial,Accelerometer Range Options,"+/-2, +/-4, +/-8, +/-16",g,String,Datasheet,Selectable full-scale ranges.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Accelerometer Sensitivity at +/-2g,16384,LSB/g,Real,Datasheet,8192 / 4096 / 2048 LSB/g at +/-4/8/16 g.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Accelerometer Noise Density,0.16,mg/sqrt(Hz),Real,Datasheet,Typical.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Gyroscope Range Options,"+/-125, +/-250, +/-500, +/-1000, +/-2000",deg/s,String,Datasheet,Selectable full-scale ranges.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Gyroscope Sensitivity at +/-125dps,262.144,LSB/(deg/s),Real,Datasheet,Halves with each range step up.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Gyroscope Noise Density,0.007,deg/s/sqrt(Hz),Real,Datasheet,"Typical, performance mode."
OAK-D Lite IMU (BMI270),Sensor - Inertial,Max Practical Report Rate,250,Hz,Real,Datasheet,Requests above 400 Hz top out at ~250 Hz. Requested rates round DOWN to the next supported value.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Supported Report Rates,"25, 50, 100, 200, 250",Hz,String,Datasheet,Stable request rates for both accelerometer and gyroscope.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Accelerometer Output Unit,m/s^2,n/a,String,Datasheet,float32 per axis in DepthAI IMUPacket.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Gyroscope Output Unit,rad/s,n/a,String,Datasheet,float32 per axis in DepthAI IMUPacket.
OAK-D Lite IMU (BMI270),Sensor - Inertial,Bandwidth at 200 Hz,8,kB/s,Real,Calculated,Accelerometer plus gyroscope with metadata.
OAK-D Lite Neural Engine,Sensor - Vision,Total VPU Compute,4,TOPS,Real,Datasheet,Whole Myriad X device.
OAK-D Lite Neural Engine,Sensor - Vision,Neural Inference Allocation,1.4,TOPS,Real,Datasheet,Portion dedicated to neural inference.
OAK-D Lite Neural Engine,Sensor - Vision,Deployed Model,YOLOv8n,n/a,String,Repo-design,"Converted to Myriad X blob format, 416 x 416 input."
OAK-D Lite Neural Engine,Sensor - Vision,Model Input Size,416,pixel,Integer,Repo-design,"Square input, set at Luxonis blob conversion."
OAK-D Lite Neural Engine,Sensor - Vision,Detection Confidence Threshold,0.5,dimensionless,Real,Repo-config,"perception.yaml, oakd_dog_detector.confidence_threshold."
OAK-D Lite Neural Engine,Sensor - Vision,Detection Publish Rate,5,Hz,Real,Repo-config,"perception.yaml, oakd_dog_detector.publish_rate_hz."
OAK-D Lite Neural Engine,Sensor - Vision,Spatial Coordinate Unit,mm,n/a,String,Datasheet,"SpatialImgDetections returns X, Y, Z in millimetres in the camera frame."
OAK-D Lite Neural Engine,Sensor - Vision,Confidence Output Range,0 to 1,dimensionless,String,Datasheet,Float bounded 0-1 per detection.
OAK-D Lite Neural Engine,Sensor - Vision,Bounding Box Format,Normalised 0-1,n/a,String,Datasheet,"xmin, ymin, xmax, ymax as floats relative to image size."
MLX90640,Sensor - Thermal,Manufacturer Part Number,MLX90640ESF-BAB-000-TU,n/a,String,Datasheet,B in the third option-code position denotes the 55 x 35 deg lens. Adafruit breakout PID 4407.
MLX90640,Sensor - Thermal,Package,TO-39 4-lead,n/a,String,Datasheet,With integrated lens.
MLX90640,Sensor - Thermal,Pixel Array Width,32,pixel,Integer,Datasheet,32 columns.
MLX90640,Sensor - Thermal,Pixel Array Height,24,pixel,Integer,Datasheet,24 rows. 768 pixels total.
MLX90640,Sensor - Thermal,Pixel Count,768,pixel,Integer,Datasheet,32 x 24.
MLX90640,Sensor - Thermal,Field of View Horizontal,55,deg,Real,Datasheet,Typical.
MLX90640,Sensor - Thermal,Field of View Vertical,35,deg,Real,Datasheet,Typical.
MLX90640,Sensor - Thermal,Field of View Diagonal,65,deg,Real,Calculated,"Approximate, from the 55 x 35 deg rectangular FOV."
MLX90640,Sensor - Thermal,Instantaneous FOV per Pixel Horizontal,1.72,deg,Real,Calculated,55 deg / 32 columns.
MLX90640,Sensor - Thermal,Instantaneous FOV per Pixel Vertical,1.46,deg,Real,Calculated,35 deg / 24 rows.
MLX90640,Sensor - Thermal,Ground Sample Distance at 1 m,3.0,cm,Real,Calculated,"Horizontal, per pixel. 2.5 cm vertical."
MLX90640,Sensor - Thermal,Ground Sample Distance at 3 m,9.0,cm,Real,Calculated,"Horizontal, per pixel. A 50 cm wide adult subtends only 5-6 pixels - this is a presence detector, not an imager."
MLX90640,Sensor - Thermal,Central Pointing Error,3,deg,Real,Datasheet,Maximum deviation from normal.
MLX90640,Sensor - Thermal,Defective Pixels Max,4,pixel,Integer,Datasheet,Flagged in on-chip EEPROM; replace by neighbour interpolation.
MLX90640,Sensor - Thermal,Object Temperature Range Min,-40,degC,Real,Datasheet,Measurable target temperature.
MLX90640,Sensor - Thermal,Object Temperature Range Max,300,degC,Real,Datasheet,Measurable target temperature.
MLX90640,Sensor - Thermal,Operating Temperature Min,-40,degC,Real,Datasheet,Ambient.
MLX90640,Sensor - Thermal,Operating Temperature Max,85,degC,Real,Datasheet,Ambient.
MLX90640,Sensor - Thermal,Accuracy,2,degC,Real,Datasheet,"Adafruit product-level figure, +/- over the 0-100 degC range. Valid only under settled isothermal conditions AND when the target fills the pixel FOV."
MLX90640,Sensor - Thermal,Frame Accuracy,1,degC,Real,Datasheet,"+/-, datasheet BAA reference case."
MLX90640,Sensor - Thermal,Zone 1 Non-Uniformity,0.5,degC,Real,Datasheet,"+/-, datasheet BAA reference case."
MLX90640,Sensor - Thermal,NETD at 1 Hz,0.25,K,Real,Datasheet,"Noise-equivalent temperature difference, BAB variant average. Minimum 0.20 K, sigma 0.05 K. The BAA variant achieves 0.14 K."
MLX90640,Sensor - Thermal,ADC Resolution,18,bit,Integer,Datasheet,"Default. 16, 17, 18 or 19 bit selectable."
MLX90640,Sensor - Thermal,Emissivity,User-defined,dimensionless,String,Datasheet,NOT stored in the device and NOT defaulted by the sensor - the host must supply it. Set it for the target material (~0.98 for skin/fur) or absolute temperatures will be wrong.
MLX90640,Sensor - Thermal,Refresh Rate Options,"0.5, 1, 2, 4, 8, 16, 32, 64",Hz,String,Datasheet,"This is the SUBPAGE rate, not the full-image rate."
MLX90640,Sensor - Thermal,Refresh Rate Default,2,Hz,Real,Datasheet,Subpage rate.
MLX90640,Sensor - Thermal,Subpages per Frame,2,count,Integer,Datasheet,A full thermal image requires reading both subpages.
MLX90640,Sensor - Thermal,Effective Full Image Rate at 16 Hz Refresh,8,Hz,Real,Calculated,"The configured refresh rate is the SUBPAGE rate; a full image needs both subpages, so the full-image rate is always half the configured refresh rate."
MLX90640,Sensor - Thermal,Configured Publish Rate,4,Hz,Real,Repo-config,"perception.yaml, thermal_node.publish_rate_hz."
MLX90640,Sensor - Thermal,Practical Max Refresh Rate,16,Hz,Real,Datasheet,Adafruit: 32 Hz is theoretical but was not achievable in practice.
MLX90640,Sensor - Thermal,Reading Pattern,Chess,n/a,String,Datasheet,Factory-calibrated default and recommended. Interleaved/TV mode also available.
MLX90640,Sensor - Thermal,First Valid Data Delay,540,ms,Real,Calculated,40 ms + (1 / refresh rate) at the 2 Hz default.
MLX90640,Sensor - Thermal,Thermal Stabilisation Time,240,s,Real,Datasheet,Up to 4 minutes to reach rated accuracy. Do not trust absolute temperature immediately after power-up.
MLX90640,Sensor - Thermal,Supply Voltage Min,3.0,V,Real,Datasheet,Sensor VDD.
MLX90640,Sensor - Thermal,Supply Voltage Typical,3.3,V,Real,Datasheet,Melexis recommends holding VDD to 3.3 V +/- 0.1 V for best performance.
MLX90640,Sensor - Thermal,Supply Voltage Max,3.6,V,Real,Datasheet,Sensor VDD.
MLX90640,Sensor - Thermal,Supply Current Min,14,mA,Real,Datasheet,Sensor IDD.
MLX90640,Sensor - Thermal,Supply Current Typical,18,mA,Real,Datasheet,Sensor IDD.
MLX90640,Sensor - Thermal,Supply Current Max,25,mA,Real,Datasheet,Sensor IDD.
MLX90640,Sensor - Thermal,Power Typical,59.4,mW,Real,Calculated,18 mA x 3.3 V.
MLX90640,Sensor - Thermal,Power Max,82.5,mW,Real,Calculated,25 mA x 3.3 V.
MLX90640,Sensor - Thermal,Breakout Input Voltage Min,3.0,V,Real,Datasheet,Adafruit breakout has an on-board regulator and level shifting.
MLX90640,Sensor - Thermal,Breakout Input Voltage Max,5.0,V,Real,Datasheet,Adafruit breakout.
MLX90640,Sensor - Thermal,Breakout Total Current,22.5,mA,Real,Estimated,20-25 mA including regulator and pull-ups; midpoint used. Measure on the bench.
MLX90640,Sensor - Thermal,Breakout Length,25.7,mm,Real,Datasheet,"Adafruit PID 4407, with STEMMA QT/Qwiic connectors."
MLX90640,Sensor - Thermal,Breakout Width,17.7,mm,Real,Datasheet,
MLX90640,Sensor - Thermal,Breakout Height,16.0,mm,Real,Datasheet,
MLX90640,Sensor - Thermal,Digital Interface,I2C,n/a,String,Datasheet,Slave only.
MLX90640,Sensor - Thermal,I2C Address,0x33,n/a,String,Datasheet,Programmable; 0x00 must be avoided. Matches perception.yaml i2c_address.
MLX90640,Sensor - Thermal,I2C Clock Max,1,MHz,Real,Datasheet,FM+ mode. The sensor needs this speed - see the bus-sharing caveat.
MLX90640,Sensor - Thermal,I2C Bus Number,1,count,Integer,Repo-config,"perception.yaml, thermal_node.i2c_bus."
MLX90640,Sensor - Thermal,Logic Level Tolerance,5,V,Real,Datasheet,SDA/SCL are 5 V tolerant.
MLX90640,Sensor - Thermal,Raw Pixel Data Format,int16,n/a,String,Datasheet,768 x 16-bit signed ADC counts proportional to received IR energy - NOT temperature.
MLX90640,Sensor - Thermal,Application Output Format,float32,n/a,String,Datasheet,768-element IEEE-754 array in degrees Celsius after the driver runs the compensation chain.
MLX90640,Sensor - Thermal,Application Output Unit,degC,n/a,String,Datasheet,"Row-major, 32 wide by 24 tall."
MLX90640,Sensor - Thermal,Bandwidth at 8 Images per Second,24.6,kB/s,Real,Calculated,768 floats x 4 bytes x 8 full frames/s.
Pi Camera Module 3 NoIR,Sensor - Vision,Manufacturer Part Number,SC0873,n/a,String,Datasheet,Standard lens (75 deg) NoIR variant.
Pi Camera Module 3 NoIR,Sensor - Vision,Image Sensor,Sony IMX708,n/a,String,Datasheet,"Back-illuminated stacked CMOS, Quad Bayer."
Pi Camera Module 3 NoIR,Sensor - Vision,Resolution,11.9,MP,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Pixel Array Width,4608,pixel,Integer,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Pixel Array Height,2592,pixel,Integer,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Pixel Pitch,1.4,um,Real,Datasheet,1.4 x 1.4 um.
Pi Camera Module 3 NoIR,Sensor - Vision,Sensor Diagonal,7.4,mm,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Field of View Diagonal,75,deg,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Field of View Horizontal,66,deg,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Field of View Vertical,41,deg,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Focal Length,4.74,mm,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,F-Number,1.8,dimensionless,Real,Datasheet,f/1.8.
Pi Camera Module 3 NoIR,Sensor - Vision,Focus Range Min,0.10,m,Real,Datasheet,10 cm to infinity.
Pi Camera Module 3 NoIR,Sensor - Vision,Autofocus System,PDAF,n/a,String,Datasheet,Phase Detection Autofocus. Lock focus manually on a vibrating platform to stop AF hunting.
Pi Camera Module 3 NoIR,Sensor - Vision,Shutter Type,Rolling,n/a,String,Estimated,Not stated in the product brief; the IMX708 is a rolling-shutter sensor.
Pi Camera Module 3 NoIR,Sensor - Vision,Infrared Sensitive,TRUE,n/a,Boolean,Datasheet,No IR cut filter. Near-IR leaks into all three Bayer channels - treat as effectively monochrome under IR illumination.
Pi Camera Module 3 NoIR,Sensor - Vision,HDR Max Output,3,MP,Real,Datasheet,HDR mode output resolution ceiling.
Pi Camera Module 3 NoIR,Sensor - Vision,Supply Voltage,3.3,V,Real,Datasheet,Sourced from the host CSI connector.
Pi Camera Module 3 NoIR,Sensor - Vision,Current Draw,250,mA,Real,Estimated,Raspberry Pi does not publish this. Derived from forum measurements of Camera Module 2/3. MEASURE ON THE BENCH.
Pi Camera Module 3 NoIR,Sensor - Vision,Power,0.83,W,Real,Estimated,0.25 A x 3.3 V. Only significant unpublished power figure in the suite.
Pi Camera Module 3 NoIR,Sensor - Vision,Operating Temperature Min,0,degC,Real,Datasheet,Narrowest of any component in the suite.
Pi Camera Module 3 NoIR,Sensor - Vision,Operating Temperature Max,50,degC,Real,Datasheet,LIMITING COMPONENT - sets BillieBot's usable ambient envelope at 0-50 degC.
Pi Camera Module 3 NoIR,Sensor - Vision,Length,25,mm,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Width,24,mm,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Height,11.5,mm,Real,Datasheet,
Pi Camera Module 3 NoIR,Sensor - Vision,Ribbon Cable Length,200,mm,Real,Datasheet,15 x 1 mm FPC.
Pi Camera Module 3 NoIR,Sensor - Vision,Image Data Interface,MIPI CSI-2,n/a,String,Datasheet,Control is over 2-wire serial (I2C).
Pi Camera Module 3 NoIR,Sensor - Vision,Native Output Format,RAW10,n/a,String,Datasheet,"10-bit Bayer, CSI-2 packed (SRGGB10_CSI2P), 5 bytes per 4 pixels."
Pi Camera Module 3 NoIR,Sensor - Vision,Post-ISP Formats,"YUV420, NV12, RGB888, BGR888, XRGB8888",n/a,String,Datasheet,Selectable per-stream in libcamera.
Pi Camera Module 3 NoIR,Sensor - Vision,Configured Frame Width,640,pixel,Integer,Repo-config,"perception.yaml, noir_cam_node.width."
Pi Camera Module 3 NoIR,Sensor - Vision,Configured Frame Height,480,pixel,Integer,Repo-config,"perception.yaml, noir_cam_node.height."
Pi Camera Module 3 NoIR,Sensor - Vision,Configured Publish Rate,5,Hz,Real,Repo-config,"perception.yaml, noir_cam_node.publish_rate_hz."
Pi Camera Module 3 NoIR,Sensor - Vision,Bandwidth at 1080p50 YUV420,155,MB/s,Real,Calculated,"Host-side, post-ISP. Use a binned mode unless full frames are genuinely needed."
reSpeaker XVF3800,Sensor - Audio,Manufacturer Part Number,101991441,n/a,String,Datasheet,"Seeed SKU, variant without XIAO ESP32S3."
reSpeaker XVF3800,Sensor - Audio,Voice Processor,XMOS XVF3800,n/a,String,Datasheet,"xcore.ai XU316-1024-QF60B core, 7 x 7 mm 60-pin QFN."
reSpeaker XVF3800,Sensor - Audio,Audio Codec,TI TLV320AIC3104,n/a,String,Datasheet,
reSpeaker XVF3800,Sensor - Audio,Microphone Count,4,count,Integer,Datasheet,"PDM MEMS, circular array."
reSpeaker XVF3800,Sensor - Audio,Microphone Spacing,66,mm,Real,Datasheet,"Approximate side spacing; coordinates (+/-0.033, +/-0.033, 0) m returned by the control command."
reSpeaker XVF3800,Sensor - Audio,Pickup Pattern,360,deg,Real,Datasheet,Only sensor in the suite with full 360 deg awareness - primary cue for attention outside the optical FOV.
reSpeaker XVF3800,Sensor - Audio,Far-Field Pickup Range,5,m,Real,Datasheet,Maximum.
reSpeaker XVF3800,Sensor - Audio,AGC Range,60,dB,Real,Datasheet,Automatic gain control.
reSpeaker XVF3800,Sensor - Audio,Sample Rate,16,kHz,Real,Datasheet,
reSpeaker XVF3800,Sensor - Audio,Bit Depth,32,bit,Integer,Datasheet,Host stacks commonly negotiate S32_LE; ALSA plughw converts to S16_LE on request.
reSpeaker XVF3800,Sensor - Audio,USB Audio Class,2.0,dimensionless,Real,Datasheet,High-speed USB 2.0 device over USB Type-C.
reSpeaker XVF3800,Sensor - Audio,Channel Count 6-Channel Firmware,6,count,Integer,Datasheet,"Ch0 Conference, Ch1 ASR beam, Ch2-5 raw Mic 0-3."
reSpeaker XVF3800,Sensor - Audio,Channel Count 2-Channel Firmware,2,count,Integer,Datasheet,"Ch0 Conference, Ch1 ASR beam."
reSpeaker XVF3800,Sensor - Audio,Configured Input Channels,2,count,Integer,Repo-config,"audio.yaml, audio_classifier.input_channels. Note: the spec reference recommends the 6-channel firmware to retain raw mic streams."
reSpeaker XVF3800,Sensor - Audio,Configured Classification Channel,1,count,Integer,Repo-config,audio.yaml - the ASR beam.
reSpeaker XVF3800,Sensor - Audio,Configured Publish Rate,2,Hz,Real,Repo-config,"audio.yaml, audio_classifier.publish_rate_hz."
reSpeaker XVF3800,Sensor - Audio,Configured Chunk Duration,0.975,s,Real,Repo-config,audio.yaml - YAMNet inference window.
reSpeaker XVF3800,Sensor - Audio,Configured Energy Threshold,-40,dB,Real,Repo-config,"audio.yaml, audio_classifier.energy_threshold_db."
reSpeaker XVF3800,Sensor - Audio,DoA Output Format,float32,n/a,String,Datasheet,AEC_AZIMUTH_VALUES returns 4 values in radians.
reSpeaker XVF3800,Sensor - Audio,DoA Output Unit,rad,n/a,String,Datasheet,Consume the auto-selected beam (4th value) - it is the beam the pipeline chose.
reSpeaker XVF3800,Sensor - Audio,Core Power USB Mode,400,mW,Real,Datasheet,"XVF3800 VDD core, typical. 345 mW in I2S mode."
reSpeaker XVF3800,Sensor - Audio,Board Power Typical,1.5,W,Real,Estimated,"Seeed does not publish a board-level figure. 1-2 W range; midpoint used. Core 400 mW plus codec, regulators, PDM mics, USB PHY."
reSpeaker XVF3800,Sensor - Audio,Board Current at 5 V,300,mA,Real,Estimated,200-400 mA range; midpoint used. MEASURE ON THE BENCH.
reSpeaker XVF3800,Sensor - Audio,LED Ring Current Max,700,mA,Real,Estimated,12 x WS2812 at full-white full-brightness. Budget 60-150 mA at DoA-indication brightness. Largest discretionary load - disable with led_effect 0 if unused.
reSpeaker XVF3800,Sensor - Audio,LED Count,12,count,Integer,Datasheet,WS2812 addressable RGB.
reSpeaker XVF3800,Sensor - Audio,Speaker Amplifier Rating,5,W,Real,Datasheet,JST speaker connector. Dominates the board budget if used.
reSpeaker XVF3800,Sensor - Audio,Bandwidth 6-Channel,384,kB/s,Real,Calculated,16000 x 4 bytes x 6 channels.
reSpeaker XVF3800,Sensor - Audio,Board Dimensions,Not published,n/a,String,Unpublished,"Seeed does not publish board dimensions. MEASURE, or derive from the published 3D STEP files."
reSpeaker XVF3800,Sensor - Audio,Microphone Inlet Face,Back (logo side),n/a,String,Datasheet,Sound inlet is on the side with the printed Seeed Studio logo and must face the sound source. Easy to get backwards in an enclosure.
DFRobot SEN0253,Sensor - Inertial,Manufacturer Part Number,SEN0253,n/a,String,Datasheet,Gravity 10 DOF IMU AHRS carrier board: BNO055 + BMP280.
DFRobot SEN0253,Sensor - Inertial,Operating Voltage Min,3.3,V,Real,Datasheet,
