ImportOrder,ElementType,Name,Owner,TargetScope,Type,DefaultValue,Unit,RecommendedValueType,UnitLibraryHint,Lower,Upper,IdentificationKey,OriginalComponent,OriginalProperty,PropertyGroup,Category,Subsystem,Scope,Quantity,Provenance,Documentation,ModelingNote,SourceName,SourceURL
1.19,Block,PololuD24V90F5Regulator,,BillieBotHardwareLibrary,,,,,,,,PololuD24V90F5Regulator,Pololu D24V90F5 5 V 9 A Step-Down Regulator,,,DC-DC buck converter,Power,future_reserved,1,derived-from-master,BillieBot hardware component. Display name: Pololu D24V90F5 5 V 9 A Step-Down Regulator. Category: DC-DC buck converter; subsystem: Power; scope: future_reserved; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.20,Block,OpalGLSFT1200Router,,BillieBotHardwareLibrary,,,,,,,,OpalGLSFT1200Router,GL.iNet Opal GL-SFT1200 Router,,,Wi-Fi router,Support Segment,offboard_support,1,derived-from-master,BillieBot hardware component. Display name: GL.iNet Opal GL-SFT1200 Router. Category: Wi-Fi router; subsystem: Support Segment; scope: offboard_support; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.21,Block,RaspberryPiCameraModule2,,BillieBotHardwareLibrary,,,,,,,,RaspberryPiCameraModule2,Raspberry Pi Camera Module 2 (optional spare),,,Visible-light camera,Perception,optional_spare,1,derived-from-master,BillieBot hardware component. Display name: Raspberry Pi Camera Module 2 (optional spare). Category: Visible-light camera; subsystem: Perception; scope: optional_spare; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.22,Block,SPH0645I2SMicrophone,,BillieBotHardwareLibrary,,,,,,,,SPH0645I2SMicrophone,Knowles SPH0645LM4H-B I²S MEMS Microphone (optional spare),,,MEMS microphone,Audio,optional_spare,1,derived-from-master,BillieBot hardware component. Display name: Knowles SPH0645LM4H-B I²S MEMS Microphone (optional spare). Category: MEMS microphone; subsystem: Audio; scope: optional_spare; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.23,Block,IRIlluminator850nm,,BillieBotHardwareLibrary,,,,,,,,IRIlluminator850nm,850 nm IR Illuminator (exact SKU not selected),,,IR illuminator,Perception,planned_gap,1,derived-from-master,BillieBot hardware component. Display name: 850 nm IR Illuminator (exact SKU not selected). Category: IR illuminator; subsystem: Perception; scope: planned_gap; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.24,Block,NVMeSSD500GB,,BillieBotHardwareLibrary,,,,,,,,NVMeSSD500GB,NVMe SSD 500 GB (model unspecified),,,Solid-state storage,Compute & Comms,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: NVMe SSD 500 GB (model unspecified). Category: Solid-state storage; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.25,Block,USBHub,,BillieBotHardwareLibrary,,,,,,,,USBHub,USB Hub (model unspecified),,,USB hub,Compute & Comms,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: USB Hub (model unspecified). Category: USB hub; subsystem: Compute & Comms; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
1.26,Block,BatterySenseVoltageDivider,,BillieBotHardwareLibrary,,,,,,,,BatterySenseVoltageDivider,Battery-Sense Voltage Divider,,,Voltage divider,Power / Sensing,on_robot_baseline,1,derived-from-master,BillieBot hardware component. Display name: Battery-Sense Voltage Divider. Category: Voltage divider; subsystem: Power / Sensing; scope: on_robot_baseline; quantity: 1.,Import this row with Element Type = Block and map Name -> Name.,BillieBot master hardware CSV,
2.001,Value Property,manufacturer,OAKDLite,OAKDLite,String,Luxonis,,String,none,1,1,OAKDLite::manufacturer,Luxonis OAK-D Lite (Auto-Focus),manufacturer,Identification,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Source property 'manufacturer' from Luxonis OAK-D Lite (Auto-Focus).,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.002,Value Property,productFamily,OAKDLite,OAKDLite,String,OAK-D Lite,,String,none,1,1,OAKDLite::productFamily,Luxonis OAK-D Lite (Auto-Focus),product_family,Identification,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Auto-focus BillieBot variant.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.003,Value Property,sku,OAKDLite,OAKDLite,String,A00483,,String,none,1,1,OAKDLite::sku,Luxonis OAK-D Lite (Auto-Focus),sku,Identification,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,OAK-D-LITE-AF.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.004,Value Property,architecture,OAKDLite,OAKDLite,String,RVC2 / Intel Movidius Myriad X,,String,none,1,1,OAKDLite::architecture,Luxonis OAK-D Lite (Auto-Focus),architecture,Compute,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,"On-device stereo, encoding, and NN inference.",,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.005,Value Property,aggregateCompute,OAKDLite,OAKDLite,Real,4,TOPS,ComputeThroughput_TOPS,custom ValueType/Unit likely required,1,1,OAKDLite::aggregateCompute,Luxonis OAK-D Lite (Auto-Focus),aggregate_compute,Compute,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Total VPU compute.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.006,Value Property,neuralInferenceCompute,OAKDLite,OAKDLite,Real,1.4,TOPS,ComputeThroughput_TOPS,custom ValueType/Unit likely required,1,1,OAKDLite::neuralInferenceCompute,Luxonis OAK-D Lite (Auto-Focus),neural_inference_compute,Compute,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate allocation available for neural inference.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.007,Value Property,dimensions,OAKDLite,OAKDLite,String,91 x 28 x 17.5,mm,String,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::dimensions,Luxonis OAK-D Lite (Auto-Focus),dimensions,Mechanical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Housing dimensions.,Textual structured value retained as String; unit column is metadata only.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.008,Value Property,mass,OAKDLite,OAKDLite,Real,61,g,Mass_g,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::mass,Luxonis OAK-D Lite (Auto-Focus),mass,Mechanical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate mass from legacy Luxonis product documentation.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.009,Value Property,supplyVoltageNominal,OAKDLite,OAKDLite,Real,5,V,Voltage_V,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::supplyVoltageNominal,Luxonis OAK-D Lite (Auto-Focus),supply_voltage_nominal,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,USB-C VBUS.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.010,Value Property,inputCurrentAbsoluteMax,OAKDLite,OAKDLite,Real,1.5,A,Current_A,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::inputCurrentAbsoluteMax,Luxonis OAK-D Lite (Auto-Focus),input_current_absolute_max,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Absolute maximum input-current rating; not a normal design point.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.011,Value Property,powerIdle,OAKDLite,OAKDLite,Real,2.5,W,Power_W,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::powerIdle,Luxonis OAK-D Lite (Auto-Focus),power_idle,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,VPU booted with no active pipeline.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.012,Value Property,powerMin,OAKDLite,OAKDLite,Real,4,W,Power_W,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::powerMin,Luxonis OAK-D Lite (Auto-Focus),power_min,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Recommended operating-condition power from attached sensor reference.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.013,Value Property,powerTypical,OAKDLite,OAKDLite,Real,5,W,Power_W,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::powerTypical,Luxonis OAK-D Lite (Auto-Focus),power_typical,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Recommended operating-condition typical power.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.014,Value Property,powerMax,OAKDLite,OAKDLite,Real,6,W,Power_W,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::powerMax,Luxonis OAK-D Lite (Auto-Focus),power_max,Electrical,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Recommended operating-condition maximum; pipeline dependent.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.015,Value Property,operatingTemperature,OAKDLite,OAKDLite,String,-20 to 50,degC,String,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::operatingTemperature,Luxonis OAK-D Lite (Auto-Focus),operating_temperature,Environmental,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,At full VPU utilization.,Source range retained as String for lossless import; consider remodeling later as min/max properties or an Enumeration.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.016,Value Property,hostInterface,OAKDLite,OAKDLite,String,USB-C; USB 2 / USB 3,,String,none,1,1,OAKDLite::hostInterface,Luxonis OAK-D Lite (Auto-Focus),host_interface,Interface,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,USB 3 preferred for concurrent RGB/depth streams.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.017,Value Property,rgbSensorModel,OAKDLite,OAKDLite,String,Sony IMX214,,String,none,1,1,OAKDLite::rgbSensorModel,Luxonis OAK-D Lite (Auto-Focus),rgb_sensor_model,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Center color camera.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.018,Value Property,rgbResolution,OAKDLite,OAKDLite,String,4208 x 3120,pixels,String,custom ValueType/Unit likely required,1,1,OAKDLite::rgbResolution,Luxonis OAK-D Lite (Auto-Focus),rgb_resolution,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximately 13.1 MP native active image.,Textual structured value retained as String; unit column is metadata only.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.019,Value Property,rgbPixelPitch,OAKDLite,OAKDLite,String,1.12 x 1.12,um,String,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbPixelPitch,Luxonis OAK-D Lite (Auto-Focus),rgb_pixel_pitch,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Pixel pitch.,Textual structured value retained as String; unit column is metadata only.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.020,Value Property,rgbFovDiagonal,OAKDLite,OAKDLite,Real,81,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbFovDiagonal,Luxonis OAK-D Lite (Auto-Focus),rgb_fov_diagonal,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate diagonal field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.021,Value Property,rgbFovHorizontal,OAKDLite,OAKDLite,Real,69,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbFovHorizontal,Luxonis OAK-D Lite (Auto-Focus),rgb_fov_horizontal,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate horizontal field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.022,Value Property,rgbFovVertical,OAKDLite,OAKDLite,Real,54,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbFovVertical,Luxonis OAK-D Lite (Auto-Focus),rgb_fov_vertical,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate vertical field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.023,Value Property,rgbFocalLength,OAKDLite,OAKDLite,Real,3.37,mm,Length_mm,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbFocalLength,Luxonis OAK-D Lite (Auto-Focus),rgb_focal_length,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate effective focal length.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.024,Value Property,rgbFNumber,OAKDLite,OAKDLite,Real,2.2,,Real,none,1,1,OAKDLite::rgbFNumber,Luxonis OAK-D Lite (Auto-Focus),rgb_f_number,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Lens f-number.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.025,Value Property,rgbShutter,OAKDLite,OAKDLite,String,rolling,,String,none,1,1,OAKDLite::rgbShutter,Luxonis OAK-D Lite (Auto-Focus),rgb_shutter,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Electronic rolling shutter.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.026,Value Property,rgbFocusRange,OAKDLite,OAKDLite,String,0.08 to infinity,m,String,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::rgbFocusRange,Luxonis OAK-D Lite (Auto-Focus),rgb_focus_range,Optical - RGB,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Auto-focus variant.,Source range retained as String for lossless import; consider remodeling later as min/max properties or an Enumeration.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.027,Value Property,stereoSensorModel,OAKDLite,OAKDLite,String,2 x OmniVision OV7251,,String,none,1,1,OAKDLite::stereoSensorModel,Luxonis OAK-D Lite (Auto-Focus),stereo_sensor_model,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Left/right monochrome global-shutter cameras.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.028,Value Property,stereoResolution,OAKDLite,OAKDLite,String,640 x 480,pixels,String,custom ValueType/Unit likely required,1,1,OAKDLite::stereoResolution,Luxonis OAK-D Lite (Auto-Focus),stereo_resolution,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Per mono camera.,Textual structured value retained as String; unit column is metadata only.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.029,Value Property,stereoPixelPitch,OAKDLite,OAKDLite,String,3.0 x 3.0,um,String,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::stereoPixelPitch,Luxonis OAK-D Lite (Auto-Focus),stereo_pixel_pitch,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Pixel pitch.,Textual structured value retained as String; unit column is metadata only.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.030,Value Property,stereoFovDiagonal,OAKDLite,OAKDLite,Real,86,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::stereoFovDiagonal,Luxonis OAK-D Lite (Auto-Focus),stereo_fov_diagonal,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate diagonal field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.031,Value Property,stereoFovHorizontal,OAKDLite,OAKDLite,Real,73,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::stereoFovHorizontal,Luxonis OAK-D Lite (Auto-Focus),stereo_fov_horizontal,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate horizontal field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.032,Value Property,stereoFovVertical,OAKDLite,OAKDLite,Real,58,deg,Angle_deg,ISO-80000 / SI candidate; confirm exact library ValueType name in project,1,1,OAKDLite::stereoFovVertical,Luxonis OAK-D Lite (Auto-Focus),stereo_fov_vertical,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Approximate vertical field of view.,"Primitive Type is import-safe; to enforce/display units in SysML, later retype with a unit-bearing ValueType.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
2.033,Value Property,stereoShutter,OAKDLite,OAKDLite,String,global,,String,none,1,1,OAKDLite::stereoShutter,Luxonis OAK-D Lite (Auto-Focus),stereo_shutter,Optical - Stereo,Smart stereo camera,Perception,on_robot_baseline,1,manufacturer-stated,Important for stereo on a moving robot.,,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
