component,category,subsystem,scope,quantity,property_group,property,value,units,value_type,provenance,notes,source_name,source_url
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_shutter,rolling,,string,manufacturer-stated,Electronic rolling shutter.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - RGB,rgb_focus_range,0.08 to infinity,m,range,manufacturer-stated,Auto-focus variant.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_sensor_model,2 x OmniVision OV7251,,string,manufacturer-stated,Left/right monochrome global-shutter cameras.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_resolution,640 x 480,pixels,string,manufacturer-stated,Per mono camera.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_pixel_pitch,3.0 x 3.0,um,string,manufacturer-stated,Pixel pitch.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_fov_diagonal,86,deg,number,manufacturer-stated,Approximate diagonal field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_fov_horizontal,73,deg,number,manufacturer-stated,Approximate horizontal field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_fov_vertical,58,deg,number,manufacturer-stated,Approximate vertical field of view.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_shutter,global,,string,manufacturer-stated,Important for stereo on a moving robot.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Optical - Stereo,stereo_focus_range,0.065 to infinity,m,range,manufacturer-stated,Fixed focus.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,stereo_baseline,75,mm,number,manufacturer-stated,Physical baseline between mono cameras.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,ideal_depth_range,0.8 to 12,m,range,manufacturer-stated,Luxonis documentation varies with resolution/disparity mode; characterize final BillieBot configuration.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,minimum_depth_extended_disparity,0.2,m,number,manufacturer-stated,Approximate MinZ in suitable 480p extended-disparity mode.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,depth_accuracy_near,<2,%,string,manufacturer-stated,Median absolute depth error at short range; exact distance bands vary among official references.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,depth_accuracy_mid,<4,%,string,manufacturer-stated,Median absolute depth error at intermediate range.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,depth_accuracy_far,<6,%,string,manufacturer-stated,Median absolute depth error at longer range.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,depth_output_format,uint16,,string,manufacturer-stated,Default depth image representation.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,depth_scale,1,mm/LSB,number,manufacturer-stated,Default depth units.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,Depth,invalid_depth_value,0,LSB,number,manufacturer-stated,"Zero means invalid/undetermined depth, not zero-distance contact.",Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,imu_model,Bosch BMI270,,string,manufacturer-stated,Retail OAK-D Lite units include it; early Kickstarter units may not.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,accelerometer_range_options,±2 / ±4 / ±8 / ±16,g,list,manufacturer-stated,Selectable full-scale ranges.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,accelerometer_noise_density,0.16,mg/sqrt(Hz),number,manufacturer-stated,Typical native BMI270 noise density.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,gyroscope_range_options,±125 / ±250 / ±500 / ±1000 / ±2000,deg/s,list,manufacturer-stated,Selectable full-scale ranges.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,gyroscope_noise_density,0.007,deg/s/sqrt(Hz),number,manufacturer-stated,Typical performance-mode value.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,IMU,depthai_practical_report_rates,25 / 50 / 100 / 200 / 250,Hz,list,manufacturer-stated,Stable public request points; practical top rate about 250 Hz.,Attached sensor references + Luxonis,https://docs.luxonis.com/hardware/products/OAK-D%20Lite
Luxonis OAK-D Lite (Auto-Focus),Smart stereo camera,Perception,on_robot_baseline,1,BillieBot configuration,ros_publish_rate,5.0,Hz,number,repo-configuration,OAK-D dog detector publish rate.,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Identification,sensor_model,Melexis MLX90640ESF-BAB-000-TU,,string,manufacturer-stated,55° x 35° BAB lens variant.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Mechanical,dimensions,25.7 x 17.7 x 16.0,mm,string,manufacturer-stated,Adafruit breakout dimensions.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Optical,array_format,32 x 24,pixels,string,manufacturer-stated,768 native thermal pixels.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Optical,pixel_count,768,pixels,number,calculated,32 x 24 array.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Optical,fov_horizontal,55,deg,number,manufacturer-stated,Typical.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Optical,fov_vertical,35,deg,number,manufacturer-stated,Typical.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Optical,central_pointing_error_max,3,deg,number,manufacturer-stated,Maximum pointing error from normal.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Measurement,object_temperature_range,-40 to 300,degC,range,manufacturer-stated,Radiometric target/object range.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Environmental,operating_temperature,-40 to 85,degC,range,manufacturer-stated,Sensor operating range.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Measurement,absolute_accuracy,±2,degC,string,manufacturer-stated,Adafruit product-level figure over approximately 0–100 °C; depends on settled/isothermal conditions and target filling pixel FOV.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Measurement,netd_typical_at_1hz,0.25,K,number,manufacturer-stated,BAB 55° variant average NETD at 1 Hz; preferred over generic 0.1 K figures for this exact lens variant.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Measurement,netd_min_at_1hz,0.2,K,number,manufacturer-stated,BAB variant minimum from Melexis table.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Measurement,adc_resolution_options,16 / 17 / 18 / 19,bits,list,manufacturer-stated,18-bit default.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Timing,refresh_rate_options,0.5 / 1 / 2 / 4 / 8 / 16 / 32 / 64,Hz,list,manufacturer-stated,Configured refresh is subpage rate.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Timing,default_refresh_rate,2,Hz,number,manufacturer-stated,Subpage rate.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Timing,effective_full_image_rate_ratio,0.5,full frames/subpage-rate,number,calculated,Full thermal frame requires two subpages.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Timing,thermal_stabilization_time_max,4,min,number,manufacturer-stated,Allow for rated absolute-temperature accuracy after power-up.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Electrical,breakout_input_voltage,3 to 5,V,range,manufacturer-stated,On-board regulator and level shifting.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Electrical,sensor_supply_voltage_typical,3.3,V,number,manufacturer-stated,Melexis sensor core.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Electrical,sensor_current_typical,18,mA,number,manufacturer-stated,MLX90640 sensor IC.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Electrical,sensor_current_max,25,mA,number,manufacturer-stated,MLX90640 sensor IC.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Electrical,sensor_power_typical,59.4,mW,number,calculated,3.3 V x 18 mA.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Interface,interface,I2C,,string,manufacturer-stated,Slave device.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Interface,i2c_address,0x33,,string,manufacturer-stated,Default 7-bit address.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Interface,i2c_clock_max,1,MHz,number,manufacturer-stated,Fast-mode plus supported by sensor.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Data,application_output,768-element float temperature array,,string,manufacturer-stated,Typical driver output after calibration/compensation.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,Data,application_output_units,degrees Celsius,,string,manufacturer-stated,Each element represents calculated object temperature.,Attached sensor references + Melexis/Adafruit,https://www.adafruit.com/product/4407; https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,BillieBot configuration,ros_publish_rate,4.0,Hz,number,repo-configuration,Current thermal node publish rate; matches ~4 full images/s target.,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
Adafruit MLX90640 55° Thermal Camera (PID 4407),Thermal imager,Perception,on_robot_baseline,1,BillieBot configuration,i2c_bus,1,,number,repo-configuration,Configured Linux I2C bus.,perception.yaml,https://github.com/sean-mackenzie/billie-bot-claude/blob/main/billiebot_ws/src/billiebot_perception/config/perception.yaml
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Identification,sensor_model,Sony IMX708,,string,manufacturer-stated,"Back-illuminated stacked CMOS, Quad Bayer.",Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Identification,ir_cut_filter,absent,,string,manufacturer-stated,NoIR variant; visible + near-IR sensitive.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Mechanical,dimensions,25 x 24 x 11.5,mm,string,manufacturer-stated,Approximate.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Mechanical,mass,4,g,number,manufacturer-stated,Current Raspberry Pi camera hardware table.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,resolution,4608 x 2592,pixels,string,manufacturer-stated,11.9 MP effective.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,megapixels,11.9,MP,number,manufacturer-stated,Effective resolution.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,pixel_pitch,1.4 x 1.4,um,string,manufacturer-stated,Pixel size.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,sensor_diagonal,7.4,mm,number,manufacturer-stated,Sensor image-area diagonal.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,fov_diagonal,75,deg,number,manufacturer-stated,Standard-lens NoIR variant.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,fov_horizontal,66,deg,number,manufacturer-stated,Standard field of view.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,fov_vertical,41,deg,number,manufacturer-stated,Standard field of view.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,focal_length,4.74,mm,number,manufacturer-stated,Standard-lens module.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,f_number,1.8,,number,manufacturer-stated,Lens focal ratio.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
Raspberry Pi Camera Module 3 NoIR (SC0873),Visible/NIR camera,Perception,on_robot_baseline,1,Optical,focus_range,0.10 to infinity,m,range,manufacturer-stated,Motorized autofocus.,Attached sensor references + Raspberry Pi,https://www.raspberrypi.com/documentation/accessories/camera.html
