rowType,elementID,elementName,ownerPackage,owningBlock,stereotype,typeName,primitiveType,defaultValue,unitName,unitSymbol,quantityKind,multiplicity,provenance,documentation
ValueType,VT_Millivolt,Millivolt,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,millivolt,mV,electric potential difference,,,Unit-bearing value type. Specializes Real; unit millivolt (mV); quantity kind electric potential difference. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Milliwatt,Milliwatt,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,milliwatt,mW,power,,,Unit-bearing value type. Specializes Real; unit milliwatt (mW); quantity kind power. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Nanometre,Nanometre,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,nanometre,nm,length,,,Unit-bearing value type. Specializes Real; unit nanometre (nm); quantity kind length. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Percent,Percent,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,percent,%,dimensionless ratio,,,Unit-bearing value type. Specializes Real; unit percent (%); quantity kind dimensionless ratio. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Pixel,Pixel,BillieBot::Hardware::ValueTypes,,ValueType,Integer,Integer,,pixel,px,dimensionless count,,,Unit-bearing value type. Specializes Integer; unit pixel (px); quantity kind dimensionless count. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_RevolutionPerMinute,RevolutionPerMinute,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,revolution per minute,r/min,rotational frequency,,,Unit-bearing value type. Specializes Real; unit revolution per minute (r/min); quantity kind rotational frequency. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Second,Second,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,second,s,time,,,Unit-bearing value type. Specializes Real; unit second (s); quantity kind time. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_StandardGravity,StandardGravity,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,standard gravity,g,acceleration,,,Unit-bearing value type. Specializes Real; unit standard gravity (g); quantity kind acceleration. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_TeraOperationPerSecond,TeraOperationPerSecond,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,tera-operation per second,TOPS,operation rate,,,Unit-bearing value type. Specializes Real; unit tera-operation per second (TOPS); quantity kind operation rate. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Volt,Volt,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,volt,V,electric potential difference,,,Unit-bearing value type. Specializes Real; unit volt (V); quantity kind electric potential difference. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_Watt,Watt,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,watt,W,power,,,Unit-bearing value type. Specializes Real; unit watt (W); quantity kind power. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
ValueType,VT_WattHour,WattHour,BillieBot::Hardware::ValueTypes,,ValueType,Real,Real,,watt hour,W.h,energy,,,Unit-bearing value type. Specializes Real; unit watt hour (W.h); quantity kind energy. Retype to the equivalent SI/ISO-80000 library type if one is loaded.
Block,BLK_OAKDLite,OAK-D Lite,BillieBot::Hardware::Sensors::Vision,,Block,,,,,,,,,BillieBot hardware component. Category: Sensor - Vision.
ValueProperty,VP_OAKDLite_manufacturerPartNumber,manufacturerPartNumber,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,String,String,OAK-D-LITE-AF,,,,1,Datasheet,Luxonis SKU A00483. Auto-focus variant. [Value provenance: Datasheet. Master row: OAK-D Lite / Manufacturer Part Number.]
ValueProperty,VP_OAKDLite_visionProcessor,visionProcessor,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,String,String,Intel Movidius Myriad X,,,,1,Datasheet,Luxonis RVC2 platform. [Value provenance: Datasheet. Master row: OAK-D Lite / Vision Processor.]
ValueProperty,VP_OAKDLite_length,length,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Millimetre,Real,91,millimetre,mm,length,1,Datasheet,Longest dimension of the aluminium housing. [Value provenance: Datasheet. Master row: OAK-D Lite / Length.]
ValueProperty,VP_OAKDLite_width,width,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Millimetre,Real,28,millimetre,mm,length,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite / Width.]
ValueProperty,VP_OAKDLite_height,height,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Millimetre,Real,17.5,millimetre,mm,length,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite / Height.]
ValueProperty,VP_OAKDLite_mass,mass,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Gram,Real,61,gram,g,mass,1,Datasheet,Stated in legacy Luxonis product documentation. [Value provenance: Datasheet. Master row: OAK-D Lite / Mass.]
ValueProperty,VP_OAKDLite_supplyVoltageNominal,supplyVoltageNominal,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Volt,Real,5,volt,V,electric potential difference,1,Datasheet,Delivered over USB-C VBUS. [Value provenance: Datasheet. Master row: OAK-D Lite / Supply Voltage Nominal.]
ValueProperty,VP_OAKDLite_supplyVoltageMin,supplyVoltageMin,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Volt,Real,3.5,volt,V,electric potential difference,1,Datasheet,Absolute minimum rating. [Value provenance: Datasheet. Master row: OAK-D Lite / Supply Voltage Min.]
ValueProperty,VP_OAKDLite_supplyVoltageMax,supplyVoltageMax,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Volt,Real,5.5,volt,V,electric potential difference,1,Datasheet,Absolute maximum. 5.25 V is the recommended ceiling. [Value provenance: Datasheet. Master row: OAK-D Lite / Supply Voltage Max.]
ValueProperty,VP_OAKDLite_inputCurrentMax,inputCurrentMax,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Ampere,Real,1.5,ampere,A,electric current,1,Datasheet,Absolute maximum rating. [Value provenance: Datasheet. Master row: OAK-D Lite / Input Current Max.]
ValueProperty,VP_OAKDLite_powerConsumptionMin,powerConsumptionMin,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Watt,Real,4,watt,W,power,1,Datasheet,"Recommended operating conditions, active pipeline. [Value provenance: Datasheet. Master row: OAK-D Lite / Power Consumption Min.]"
ValueProperty,VP_OAKDLite_powerConsumptionTypical,powerConsumptionTypical,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Watt,Real,5,watt,W,power,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite / Power Consumption Typical.]
ValueProperty,VP_OAKDLite_powerConsumptionMax,powerConsumptionMax,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Watt,Real,6,watt,W,power,1,Datasheet,"Peak with AI, depth and encoder subsystems saturated. [Value provenance: Datasheet. Master row: OAK-D Lite / Power Consumption Max.]"
ValueProperty,VP_OAKDLite_idlePower,idlePower,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Watt,Real,2.5,watt,W,power,1,Datasheet,"VPU booted, no pipeline running. [Value provenance: Datasheet. Master row: OAK-D Lite / Idle Power.]"
ValueProperty,VP_OAKDLite_operatingCurrentTypical,operatingCurrentTypical,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Ampere,Real,0.9,ampere,A,electric current,1,Calculated,4-5 W divided by 5 V. Dominates the sensor power budget (~60-70% of suite). [Value provenance: Calculated. Master row: OAK-D Lite / Operating Current Typical.]
ValueProperty,VP_OAKDLite_peakCurrent,peakCurrent,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Ampere,Real,1.2,ampere,A,electric current,1,Calculated,6 W divided by 5 V. Exceeds the USB2 900 mA ceiling - requires Y-adapter or powered hub. [Value provenance: Calculated. Master row: OAK-D Lite / Peak Current.]
ValueProperty,VP_OAKDLite_operatingTemperatureMin,operatingTemperatureMin,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,DegreeCelsius,Real,-20,degree Celsius,degC,Celsius temperature,1,Datasheet,At full VPU utilisation. [Value provenance: Datasheet. Master row: OAK-D Lite / Operating Temperature Min.]
ValueProperty,VP_OAKDLite_operatingTemperatureMax,operatingTemperatureMax,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,DegreeCelsius,Real,50,degree Celsius,degC,Celsius temperature,1,Datasheet,At full VPU utilisation; lighter pipelines tolerate more. [Value provenance: Datasheet. Master row: OAK-D Lite / Operating Temperature Max.]
ValueProperty,VP_OAKDLite_vpuThermalShutdownTemperature,vpuThermalShutdownTemperature,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,DegreeCelsius,Real,105,degree Celsius,degC,Celsius temperature,1,Datasheet,Junction temperature. DepthAI shuts the device down automatically. [Value provenance: Datasheet. Master row: OAK-D Lite / VPU Thermal Shutdown Temperature.]
ValueProperty,VP_OAKDLite_hostInterface,hostInterface,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,String,String,USB-C USB 3.1 Gen1,,,,1,Datasheet,Luxonis docs cite up to 10 Gbps; datasheet cites USB 3.1 Gen1. [Value provenance: Datasheet. Master row: OAK-D Lite / Host Interface.]
ValueProperty,VP_OAKDLite_stereoBaseline,stereoBaseline,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Millimetre,Real,75,millimetre,mm,length,1,Datasheet,Distance between the two mono cameras. [Value provenance: Datasheet. Master row: OAK-D Lite / Stereo Baseline.]
ValueProperty,VP_OAKDLite_calibrationEEPROMSize,calibrationEEPROMSize,BillieBot::Hardware::Sensors::Vision,OAK-D Lite,,Kilobit,Real,32,kilobit,kbit,information content,1,Datasheet,I2C EEPROM storing factory calibration. [Value provenance: Datasheet. Master row: OAK-D Lite / Calibration EEPROM Size.]
Block,BLK_OAKDLiteRGBCamera,OAK-D Lite RGB Camera,BillieBot::Hardware::Sensors::Vision,,Block,,,,,,,,,BillieBot hardware component. Category: Sensor - Vision.
ValueProperty,VP_OAKDLiteRGBCamera_imageSensor,imageSensor,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,String,String,Sony IMX214,,,,1,Datasheet,Colour camera of the OAK-D Lite. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Image Sensor.]
ValueProperty,VP_OAKDLiteRGBCamera_resolution,resolution,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Megapixel,Real,13.1,megapixel,MP,dimensionless count,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Resolution.]
ValueProperty,VP_OAKDLiteRGBCamera_pixelArrayWidth,pixelArrayWidth,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Pixel,Integer,4208,pixel,px,dimensionless count,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Pixel Array Width.]
ValueProperty,VP_OAKDLiteRGBCamera_pixelArrayHeight,pixelArrayHeight,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Pixel,Integer,3120,pixel,px,dimensionless count,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Pixel Array Height.]
ValueProperty,VP_OAKDLiteRGBCamera_opticalFormat,opticalFormat,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Inch,String,1/3.06,inch,in,length,1,Conflict,Luxonis docs say 1/3.06 in; datasheet says 1/3.1 in. Negligible practical difference. [Value provenance: Conflict. Master row: OAK-D Lite RGB Camera / Optical Format.]
ValueProperty,VP_OAKDLiteRGBCamera_effectiveFocalLength,effectiveFocalLength,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Millimetre,Real,3.37,millimetre,mm,length,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Effective Focal Length.]
ValueProperty,VP_OAKDLiteRGBCamera_fieldOfViewDiagonal,fieldOfViewDiagonal,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Degree,Real,81,degree,deg,plane angle,1,Datasheet,Datasheet states 81.3 deg. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Field of View Diagonal.]
ValueProperty,VP_OAKDLiteRGBCamera_fieldOfViewHorizontal,fieldOfViewHorizontal,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Degree,Real,69,degree,deg,plane angle,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Field of View Horizontal.]
ValueProperty,VP_OAKDLiteRGBCamera_fieldOfViewVertical,fieldOfViewVertical,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Degree,Real,54,degree,deg,plane angle,1,Datasheet,[Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Field of View Vertical.]
ValueProperty,VP_OAKDLiteRGBCamera_shutterType,shutterType,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,String,String,Rolling,,,,1,Datasheet,Electronic rolling shutter. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Shutter Type.]
ValueProperty,VP_OAKDLiteRGBCamera_focusType,focusType,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,String,String,Auto-focus,,,,1,Datasheet,Software-settable to a fixed lens position via the DepthAI API. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Focus Type.]
ValueProperty,VP_OAKDLiteRGBCamera_focusRangeMin,focusRangeMin,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Metre,Real,0.08,metre,m,length,1,Datasheet,8 cm. Reason to choose AF over the fixed-focus variant. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Focus Range Min.]
ValueProperty,VP_OAKDLiteRGBCamera_maxFrameRate,maxFrameRate,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,FramePerSecond,Real,60,frame per second,fps,frame rate,1,Datasheet,Sensor-level maximum at full resolution. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Max Frame Rate.]
ValueProperty,VP_OAKDLiteRGBCamera_defaultPixelFormat,defaultPixelFormat,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,String,String,NV12,,,,1,Datasheet,"YUV 4:2:0 semi-planar, 8-bit. BGR/RGB/GRAY8/YUV420p also selectable. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Default Pixel Format.]"
ValueProperty,VP_OAKDLiteRGBCamera_infraredSensitive,infraredSensitive,BillieBot::Hardware::Sensors::Vision,OAK-D Lite RGB Camera,,Boolean,Boolean,false,,,,1,Datasheet,IR cut filter fitted. [Value provenance: Datasheet. Master row: OAK-D Lite RGB Camera / Infrared Sensitive.]
